animal,Treatment,an,start,end,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,emptyct,emptydur
Animal01,nr4a-wt1,0,0,60,69,36.7,0,88,22.1,320.3,20,1.1,31.9,0,0
Animal01,nr4a-wt1,1,0,60,69,36.7,0,88,22.1,320.3,20,1.1,31.9,0,0
Animal02,nr4a-wt2,0,0,60,97,11.2,0,261,25.2,432.6,118,9.3,466,191,14.3
Animal02,nr4a-wt2,1,0,60,97,11.2,0,261,25.2,432.6,118,9.3,466,0,0
Animal03,nr4a-wt3,0,0,60,56,9.6,0,353,25.4,945.7,385,24.4,1163.7,11,0.5
Animal03,nr4a-wt3,1,0,60,56,9.6,0,353,25.4,945.7,385,24.4,1163.7,0,0
Animal04,nr4a-wt4,0,0,60,64,15.4,0,172,39.1,719.1,122,5.3,161.5,2,0.1
Animal04,nr4a-wt4,1,0,60,64,15.4,0,172,39.1,719.1,122,5.3,161.5,0,0
Animal05,nr4a-wt5,0,0,60,73,22.1,0,180,32.5,603,130,5.1,168.4,10,0.4
Animal05,nr4a-wt5,1,0,60,73,22.1,0,180,32.5,603,130,5.1,168.4,0,0
Animal06,nr4a-wt6,0,0,60,77,8.3,0,202,46.2,832.2,145,5.5,145.1,0,0
Animal06,nr4a-wt6,1,0,60,77,8.3,0,202,46.2,832.2,145,5.5,145.1,0,0
Animal07,nr4a-wt7,0,0,60,75,11.5,0,233,40,741.1,201,8.5,244.4,2,0.1
Animal07,nr4a-wt7,1,0,60,75,11.5,0,233,40,741.1,201,8.5,244.4,0,0
Animal08,nr4a-wt8,0,0,60,56,4.3,0,183,47.6,885.6,145,7.6,321.2,8,0.4
Animal08,nr4a-wt8,1,0,60,56,4.3,0,183,47.6,885.6,145,7.6,321.2,0,0
Animal09,nr4a-wt9,0,0,60,65,12.8,0,246,35,735.3,186,10.3,391.9,43,1.9
Animal09,nr4a-wt9,1,0,60,65,12.8,0,246,35,735.3,186,10.3,391.9,0,0
Animal10,nr4a-wt10,0,0,60,73,7.8,0,186,37.7,757.9,127,7.1,303.9,51,7.4
Animal10,nr4a-wt10,1,0,60,73,7.8,0,186,37.7,757.9,127,7.1,303.9,0,0
Animal11,nr4a-wt11,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal11,nr4a-wt11,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal12,nr4a-wt12,0,0,60,78,10.5,0,159,43.2,728.8,91,4.1,202.8,8,2.2
Animal12,nr4a-wt12,1,0,60,78,10.5,0,159,43.2,728.8,91,4.1,202.8,0,0
Animal13,nr4a-wt13,0,0,60,66,5.5,0,287,35.5,836.6,260,13.7,517.5,86,5.2
Animal13,nr4a-wt13,1,0,60,66,5.5,0,287,35.5,836.6,260,13.7,517.5,0,0
Animal14,nr4a-wt14,0,0,60,38,2.9,0,263,33.3,767.6,270,12.5,618.1,60,11.4
Animal14,nr4a-wt14,1,0,60,38,2.9,0,263,33.3,767.6,270,12.5,618.1,0,0
Animal15,nr4a-wt15,0,0,60,86,17.1,0,170,36,650.7,102,4.9,211.6,33,1.9
Animal15,nr4a-wt15,1,0,60,86,17.1,0,170,36,650.7,102,4.9,211.6,0,0
Animal16,nr4a-wt16,0,0,60,68,22.1,0,197,30.4,569.1,163,7.3,248.8,6,0.2
Animal16,nr4a-wt16,1,0,60,68,22.1,0,197,30.4,569.1,163,7.3,248.8,0,0
Animal17,nr4a-wt17,0,0,60,47,4.5,0,185,48.9,924.3,145,6.4,234.8,1,0.1
Animal17,nr4a-wt17,1,0,60,47,4.5,0,185,48.9,924.3,145,6.4,234.8,0,0
Animal18,nr4a-wt18,0,0,60,10,0.4,0,10,0.4,3,4,0.1,3,23,59
Animal18,nr4a-wt18,1,0,60,10,0.4,0,10,0.4,3,4,0.1,3,0,0
Animal19,nr4a-wt19,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal19,nr4a-wt19,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal20,nr4a-wt20,0,0,60,69,25.3,0,122,31.4,532.7,65,3,120.6,2,0.2
Animal20,nr4a-wt20,1,0,60,69,25.3,0,122,31.4,532.7,65,3,120.6,0,0
Animal21,nr4a-wt21,0,0,60,55,44.4,0,71,13.1,199.9,64,2.5,71.2,0,0
Animal21,nr4a-wt21,1,0,60,55,44.4,0,71,13.1,199.9,64,2.5,71.2,0,0
Animal22,nr4a-wt22,0,0,60,0,0,0,0,0,0,0,0,0,3,60
Animal22,nr4a-wt22,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal23,nr4a-wt23,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal23,nr4a-wt23,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal24,nr4a-wt24,0,0,60,42,6.7,0,343,37,940.6,333,16.2,522.4,3,0.1
Animal24,nr4a-wt24,1,0,60,42,6.7,0,343,37,940.6,333,16.2,522.4,0,0
Animal25,nr4a-ko1,0,0,60,102,16.3,0,197,38.6,669.2,111,4.6,117.2,4,0.5
Animal25,nr4a-ko1,1,0,60,102,16.3,0,197,38.6,669.2,111,4.6,117.2,0,0
Animal26,nr4a-ko2,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal26,nr4a-ko2,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal27,nr4a-ko3,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal27,nr4a-ko3,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal28,nr4a-ko4,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal28,nr4a-ko4,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal29,nr4a-ko5,0,0,60,38,3.6,0,282,45.5,969.6,249,10.8,369.4,2,0.1
Animal29,nr4a-ko5,1,0,60,38,3.6,0,282,45.5,969.6,249,10.8,369.4,0,0
Animal30,nr4a-ko6,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal30,nr4a-ko6,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal31,nr4a-ko7,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal31,nr4a-ko7,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal32,nr4a-ko8,0,0,60,49,36.1,0,70,22.1,354,32,1.1,26,2,0.6
Animal32,nr4a-ko8,1,0,60,49,36.1,0,70,22.1,354,32,1.1,26,0,0
Animal33,nr4a-ko9,0,0,60,95,11.7,0,138,45.7,718.2,48,2,47,1,0.5
Animal33,nr4a-ko9,1,0,60,95,11.7,0,138,45.7,718.2,48,2,47,0,0
Animal34,nr4a-ko10,0,0,60,23,35.1,0,36,5,93.9,40,1.9,37.9,1,17.9
Animal34,nr4a-ko10,1,0,60,23,35.1,0,36,5,93.9,40,1.9,37.9,0,0
Animal35,nr4a-ko11,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal35,nr4a-ko11,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal36,nr4a-ko12,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal36,nr4a-ko12,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal37,nr4a-ko13,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal37,nr4a-ko13,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal38,nr4a-ko14,0,0,60,10,0.4,0,110,3.9,86.8,32,1.1,38.9,138,54.4
Animal38,nr4a-ko14,1,0,60,10,0.4,0,110,3.9,86.8,32,1.1,38.9,0,0
Animal39,nr4a-ko15,0,0,60,2,0.1,0,25,1.4,26.2,4,0.3,6.4,26,58.2
Animal39,nr4a-ko15,1,0,60,2,0.1,0,25,1.4,26.2,4,0.3,6.4,0,0
Animal40,nr4a-ko16,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal40,nr4a-ko16,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal41,nr4a-ko17,0,0,60,64,12.5,0,197,40.9,776.2,159,6.6,185.1,0,0
Animal41,nr4a-ko17,1,0,60,64,12.5,0,197,40.9,776.2,159,6.6,185.1,0,0
Animal42,nr4a-ko18,0,0,60,131,6.3,0,3,0.2,1.4,2,0.1,1.4,133,53.4
Animal42,nr4a-ko18,1,0,60,131,6.3,0,3,0.2,1.4,2,0.1,1.4,0,0
Animal43,nr4a-ko19,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal43,nr4a-ko19,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal44,nr4a-ko20,0,0,60,0,0,0,0,0,0,0,0,0,1,60
Animal44,nr4a-ko20,1,0,60,0,0,0,0,0,0,0,0,0,0,0
Animal45,nr4a-ko21,0,0,60,41,50.9,0,46,7.8,111.3,9,0.9,27.8,1,0.3
Animal45,nr4a-ko21,1,0,60,41,50.9,0,46,7.8,111.3,9,0.9,27.8,0,0
Animal46,nr4a-ko22,0,0,60,3,0.1,0,1,0,0,0,0,0,8,59.8
Animal46,nr4a-ko22,1,0,60,3,0.1,0,1,0,0,0,0,0,0,0
Animal47,nr4a-ko23,0,0,60,141,26.6,0,129,29.4,426,2,0.1,1,101,3.9
Animal47,nr4a-ko23,1,0,60,141,26.6,0,129,29.4,426,2,0.1,1,0,0
Animal48,nr4a-ko24,0,0,60,67,9.3,0,280,30.7,676.3,290,15.6,682.9,46,4.4
Animal48,nr4a-ko24,1,0,60,67,9.3,0,280,30.7,676.3,290,15.6,682.9,0,0
Animal49,nr4b-wt1,0,0,60,30,3.7,0,361,26.6,927.2,382,25.9,1387.4,61,3.7
Animal49,nr4b-wt1,1,0,60,30,3.7,0,361,26.6,927.2,382,25.9,1387.4,0,0
Animal50,nr4b-wt2,0,0,60,73,27.9,0,127,25.6,426,63,6.2,352.6,5,0.2
Animal50,nr4b-wt2,1,0,60,73,27.9,0,127,25.6,426,63,6.2,352.6,0,0
Animal51,nr4b-wt3,0,0,60,40,5.3,0,299,41.5,885.1,279,12.8,384.4,1,0.4
Animal51,nr4b-wt3,1,0,60,40,5.3,0,299,41.5,885.1,279,12.8,384.4,0,0
Animal52,nr4b-wt4,0,0,60,59,26.8,0,112,29.2,455.8,63,3.4,188.6,3,0.6
