Cycle,Genotype,diff,lwr.ci,upr.ci,pval,se,sd,mean,median
Light_1,KO A,-149.516644611695,-272.83936670435,-26.193922519039,0.01835025338102847,40.586798405021824,444.606100466903,284.4448598130841,98.6
Light_1,KO B,-57.7951407884151,-179.971216220515,64.3809346436845,0.5285960998377671,46.20728334432904,506.17542817443535,376.16636363636366,223.35
Dark_1,KO A,-385.713743291592,-528.999058179215,-242.428428403969,2.3302060614405207e-8,56.522093568963435,619.1685129027791,970.5778846153846,1085.45
Dark_1,KO B,-444.245681961031,-584.452883530667,-304.038480391394,4.800515540637207e-11,59.94383980006144,656.6518648393924,912.045945945946,1050.2
Light_2,KO A,-344.864658111473,-476.200287934865,-213.529028288081,4.155313719778064e-8,21.429776515047273,234.75143999171675,183.1591304347826,96.1
Light_2,KO B,-50.0492122750691,-180.27199517995,80.173570629812,0.6155097954267297,63.034868444906934,690.5123871329224,477.97457627118644,246.4
Dark_2,KO A,-557.350735294118,-695.314316104337,-419.387154483898,-5.3290705182007514e-15,53.33112515272435,584.2132052655654,696.5831932773109,671.3
Dark_2,KO B,-285.469826007326,-424.201343621705,-146.738308392947,2.2438740142183278e-5,60.124412493384284,658.62993958744,968.4641025641025,1108.8
Light_3,KO A,-235.588570336391,-384.46583466105,-86.7113060117328,0.00134767479333181,39.41351323803135,431.753405419965,232.49583333333334,67.19999999999999
Light_3,KO B,170.501734944137,12.8512513111046,328.152218577169,0.03749085844750861,67.95438560816247,744.4029975799,638.5861386138614,444.3
Dark_3,KO A,-442.689926374722,-575.844503957124,-309.53534879232,6.8971495181813225e-12,49.572142852663994,543.0356172854513,729.9449152542372,761.8499999999999
Dark_3,KO B,-232.099706493824,-367.963835259064,-96.2355777285837,5.304840392388321e-4,58.44958785722762,640.2831549256723,940.5351351351352,1131.5
Light_1,WT,NA,NA,NA,1,29.95035397524342,463.9888886365395,433.96150442477875,264.7
Dark_1,WT,NA,NA,NA,1,26.542537079727396,411.19521630350823,1356.2916279069768,1353.4
Light_2,WT,NA,NA,NA,1,32.86000443452467,509.0649997248637,528.0237885462556,353.9
Dark_2,WT,NA,NA,NA,1,28.9925423062956,449.15053406598736,1253.9339285714286,1271.8
Light_3,WT,NA,NA,NA,1,37.25375904160392,577.1327534070239,468.0844036697248,254.55
Dark_3,WT,NA,NA,NA,1,28.415860295272502,440.2166147669879,1172.6348416289593,1172.2
