Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,1091.0857803087508,545.5428901543754,6.064959669752607,0.0025215899774757673,Light_1_Genotype
440,39577.98315874316,89.94996172441628,NA,NA,Light_1_Residuals
2,2224.9177781914227,1112.4588890957114,15.576747638928582,2.9546220023350005e-7,Dark_1_Genotype
427,30495.451082273692,71.41791822546531,NA,NA,Dark_1_Residuals
2,2767.503570458616,1383.751785229308,17.51037522358949,4.705875805409172e-8,Light_2_Genotype
457,36114.27840780227,79.02467922932662,NA,NA,Light_2_Residuals
2,3968.234125686407,1984.1170628432035,26.807777216038446,9.803102198228514e-12,Dark_2_Genotype
457,33823.82248300924,74.0127406630399,NA,NA,Dark_2_Residuals
2,3986.1238077959542,1993.0619038979771,22.64800864176631,4.387127493987967e-10,Light_3_Genotype
436,38368.71505325189,88.00164003039426,NA,NA,Light_3_Residuals
2,3331.0635584863658,1665.5317792431829,22.71457035282436,4.026283105757398e-10,Dark_3_Genotype
447,32775.99768595806,73.32437961064443,NA,NA,Dark_3_Residuals
