Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,515256.1384504173,257628.06922520866,3.719889653574394,0.025002219436218578,Light_1_Genotype
440,30473041.142542806,69256.91168759728,NA,NA,Light_1_Residuals
2,63400.955632934805,31700.477816467403,1.1373789146550095,0.3216278808695144,Dark_1_Genotype
427,11901138.532832183,27871.518812253355,NA,NA,Dark_1_Residuals
2,154664.1513667478,77332.0756833739,1.2958468890607189,0.2746696208849913,Light_2_Genotype
457,27272325.832350653,59676.86177757254,NA,NA,Light_2_Residuals
2,212834.25231835566,106417.12615917783,3.1720556139145613,0.04284184731476786,Dark_2_Genotype
457,15331580.707920773,33548.31664752904,NA,NA,Dark_2_Residuals
2,1931134.403918906,965567.201959453,15.330159357359438,3.6801394656762324e-7,Light_3_Genotype
436,27461377.94400821,62984.81179818397,NA,NA,Light_3_Residuals
2,248462.4112701525,124231.20563507624,3.22264040237198,0.04077737976150961,Dark_3_Genotype
447,17231630.584040962,38549.50913655696,NA,NA,Dark_3_Residuals
