Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,1579.9256585725848,789.9628292862924,6.680340040615175,0.0013865693050413457,Light_1_Genotype
440,52030.83118115654,118.25188904808306,NA,NA,Light_1_Residuals
2,852.912444858096,426.456222429048,7.604483309161471,5.686834293041236e-4,Dark_1_Genotype
427,23945.980229560515,56.079578991945,NA,NA,Dark_1_Residuals
2,376.6834527673454,188.3417263836727,1.706999384783026,0.1825639183206753,Light_2_Genotype
457,50423.08141679788,110.33497027745707,NA,NA,Light_2_Residuals
2,316.0820851982086,158.0410425991043,2.6089153794136712,0.07471054413529488,Dark_2_Genotype
457,27683.824871323533,60.57729731143005,NA,NA,Dark_2_Residuals
2,1195.1980505158624,597.5990252579312,4.981219065338746,0.007261550687440016,Light_3_Genotype
436,52307.11028661398,119.97043643718803,NA,NA,Light_3_Residuals
2,961.2000587697291,480.60002938486457,6.811394882945879,0.0012190731271693703,Dark_3_Genotype
447,31539.53291900804,70.55823919241172,NA,NA,Dark_3_Residuals
