Df,Sum_Sq,Mean_Sq,F_Value,P_value,Measurement
2,3899296.5753009394,1949648.2876504697,5.513974879608674,0.00431348819453525,Light_1_Genotype
440,155576560.52054554,353583.09209214896,NA,NA,Light_1_Residuals
2,17121785.31943419,8560892.659717094,30.943113298162846,2.8215359024411894e-13,Dark_1_Genotype
427,118136178.81547277,276665.52415801585,NA,NA,Dark_1_Residuals
2,12027821.061319461,6013910.530659731,17.543272605155963,4.564267814854164e-8,Light_2_Genotype
457,156661597.54615882,342804.37099815934,NA,NA,Light_2_Residuals
2,26707581.033129137,13353790.516564569,40.508150332104385,6.369349026011247e-17,Dark_2_Genotype
457,150653194.8765229,329656.88156788383,NA,NA,Dark_2_Residuals
2,18071758.04845411,9035879.024227055,20.844513992765524,2.2614482212012025e-9,Light_3_Genotype
436,189001444.501432,433489.551608789,NA,NA,Light_3_Residuals
2,19672529.074561592,9836264.537280796,34.08102063929332,1.67602210682508e-14,Dark_3_Genotype
447,129010521.56563833,288614.14220500743,NA,NA,Dark_3_Residuals
